央视,#genre#
CCTV-4K,http://111.20.33.93/PLTV/88888893/224/3221227140/index.m3u8 
CCTV-1综合,http://111.20.33.93/PLTV/88888888/224/3221225804/index.m3u8
CCTV-2财经,http://111.20.33.93/PLTV/88888893/224/3221226195/index.m3u8
CCTV-3综艺,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3综艺,http://111.20.33.93/PLTV/88888893/224/3221227067/index.m3u8
CCTV-4中文国际,http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8
CCTV-5体育,http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8
CCTV-5体育,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.20.33.93/PLTV/88888893/224/3221227070/index.m3u8
CCTV-5+体育赛事,http://111.20.33.93/PLTV/88888893/224/3221227110/index.m3u8
CCTV-6电影,http://111.20.33.93/PLTV/88888893/224/3221226393/index.m3u8
CCTV-7国防军事,http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8
CCTV-8电视剧,http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8
CCTV-9纪录,http://111.20.33.93/PLTV/88888893/224/3221226197/index.m3u8
CCTV-10科教,http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8
CCTV-11戏曲,http://111.20.33.93/PLTV/88888893/224/3221226240/index.m3u8
CCTV-12社会与法,http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8
CCTV-13新闻,http://111.20.33.93/PLTV/88888893/224/3221226233/index.m3u8
CCTV-14少儿,http://111.20.33.93/PLTV/88888893/224/3221226193/index.m3u8
CCTV-15音乐,http://111.20.33.93/PLTV/88888888/224/3221225785/index.m3u8
CCTV-16奥林匹克,http://111.20.33.93/PLTV/88888893/224/3221226921/index.m3u8
CCTV-17农业农村,http://111.20.33.93/PLTV/88888893/224/3221226198/index.m3u8
CGTN-纪录,http://111.20.33.93/PLTV/88888893/224/3221227084/index.m3u8 
CGTN-法语,http://111.20.33.93/PLTV/88888893/224/3221227058/index.m3u8 
CGTN-俄语,http://111.20.33.93/PLTV/88888893/224/3221227078/index.m3u8 
CGTN-阿拉伯语,http://111.20.33.93/PLTV/88888893/224/3221227095/index.m3u8 
CGTN-西班牙语,http://111.20.33.93/PLTV/88888893/224/3221227098/index.m3u8 
CCTV-风云剧场,http://111.20.33.93/PLTV/88888893/224/3221226950/index.m3u8 
CCTV-风云音乐,http://111.20.33.93/PLTV/88888893/224/3221226953/index.m3u8 
CCTV-风云足球,http://111.20.33.93/PLTV/88888893/224/3221226984/index.m3u8 
CCTV-台球,http://111.20.33.93/PLTV/88888893/224/3221226956/index.m3u8 
CCTV-高尔夫·网球,http://111.20.33.93/PLTV/88888893/224/3221226978/index.m3u8
CCTV-世界地理,http://111.20.33.93/PLTV/88888893/224/3221226947/index.m3u8
CCTV-第一剧场,http://111.20.33.93/PLTV/88888893/224/3221226959/index.m3u8
CCTV-怀旧剧场,http://111.20.33.93/PLTV/88888893/224/3221226972/index.m3u8 
CCTV-女性时尚,http://111.20.33.93/PLTV/88888893/224/3221226969/index.m3u8 
CCTV-兵器科技,http://111.20.33.93/PLTV/88888893/224/3221226975/index.m3u8 
CCTV-文化精品,http://111.20.33.93/PLTV/88888893/224/3221226981/index.m3u8 
CCTV-卫生健康,http://111.20.33.93/PLTV/88888893/224/3221227146/index.m3u8
CCTV-电视指南,http://111.20.33.93/PLTV/88888893/224/3221226987/index.m3u8 

CCTV-1综合,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV-2财经,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV-3综艺,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV-4中文国际,http://112.27.235.94:8000/hls/4/index.m3u8
CCTV-5体育,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV-5+体育赛事,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV-6电影,http://112.27.235.94:8000/hls/7/index.m3u8 
CCTV-7国防军事,http://112.27.235.94:8000/hls/8/index.m3u8
CCTV-8电视剧,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV-9纪录,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV-10科教,http://112.27.235.94:8000/hls/11/index.m3u8
CCTV-11戏曲,http://112.27.235.94:8000/hls/12/index.m3u8
CCTV-12社会与法,http://112.27.235.94:8000/hls/13/index.m3u8
CCTV-13新闻,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV-14少儿,http://112.27.235.94:8000/hls/15/index.m3u8
CCTV-15音乐,http://112.27.235.94:8000/hls/16/index.m3u8



卫视,#genre#
凤凰资讯,http://111.20.33.93/PLTV/88888893/224/3221226546/index.m3u8  
凤凰中文,http://111.20.33.93/PLTV/88888893/224/3221226547/index.m3u8  
东方卫视,http://111.20.33.93/PLTV/88888888/224/3221225797/index.m3u8 
东南卫视,http://111.20.33.93/PLTV/88888888/224/3221225766/index.m3u8
深圳卫视,http://111.20.33.93/PLTV/88888888/224/3221225801/index.m3u8 
湖南卫视,http://111.20.33.93/PLTV/88888888/224/3221225799/index.m3u8 
北京卫视4K,http://111.20.33.93/PLTV/88888893/224/3221227112/index.m3u8
北京卫视,http://111.20.33.93/PLTV/88888888/224/3221225796/index.m3u8 
浙江卫视,http://111.20.33.93/PLTV/88888888/224/3221225798/index.m3u8 
黑龙江卫视,http://111.20.33.93/PLTV/88888888/224/3221225802/index.m3u8 
广东卫视,http://111.20.33.93/PLTV/88888888/224/3221225803/index.m3u8 
广西卫视,http://111.20.33.93/PLTV/88888888/224/3221225770/index.m3u8
江西卫视,http://111.20.33.93/PLTV/88888888/224/3221225764/index.m3u8
河北卫视,http://111.20.33.93/PLTV/88888888/224/3221225750/index.m3u8
河南卫视,http://111.20.33.93/PLTV/88888888/224/3221225767/index.m3u8
江苏卫视,http://111.20.33.93/PLTV/88888888/224/3221225800/index.m3u8 
天津卫视,http://111.20.33.93/PLTV/88888893/224/3221226204/index.m3u8 
重庆卫视,http://111.20.33.93/PLTV/88888893/224/3221226202/index.m3u8 
辽宁卫视,http://111.20.33.93/PLTV/88888893/224/3221226201/index.m3u8 
湖北卫视,http://111.20.33.93/PLTV/88888893/224/3221226206/index.m3u8 
安徽卫视,http://111.20.33.93/PLTV/88888893/224/3221226203/index.m3u8 
山东卫视,http://111.20.33.93/PLTV/88888893/224/3221226209/index.m3u8 
山西卫视,http://111.20.33.93/PLTV/88888888/224/3221225763/index.m3u8
西藏卫视,http://111.20.33.93/PLTV/88888893/224/3221227147/index.m3u8 
云南卫视,http://111.20.33.93/PLTV/88888888/224/3221225751/index.m3u8
内蒙古卫视,http://111.20.33.93/PLTV/88888888/224/3221225786/index.m3u8
青海卫视,http://111.20.33.93/PLTV/88888888/224/3221225794/index.m3u8
吉林卫视,http://111.20.33.93/PLTV/88888888/224/3221225792/index.m3u8
四川卫视,http://111.20.33.93/PLTV/88888888/224/3221225768/index.m3u8
宁夏卫视,http://111.20.33.93/PLTV/88888888/224/3221225748/index.m3u8
海南卫视,http://111.20.33.93/PLTV/88888888/224/3221225769/index.m3u8
甘肃卫视,http://111.20.33.93/PLTV/88888888/224/3221225754/index.m3u8
贵州卫视,http://111.20.33.93/PLTV/88888888/224/3221225793/index.m3u8
新疆卫视,http://111.20.33.93/PLTV/88888893/224/3221227136/index.m3u8 
新疆兵团卫视,http://111.20.33.93/PLTV/88888893/224/3221227155/index.m3u8 
福建厦门卫视,http://111.20.33.93/PLTV/88888893/224/3221226219/index.m3u8
四川康巴卫视,http://111.20.33.93/PLTV/88888893/224/3221226234/index.m3u8
吉林延边卫视,http://111.20.33.93/PLTV/88888893/224/3221226220/index.m3u8
青海安多卫视,http://111.20.33.93/PLTV/88888893/224/3221226228/index.m3u8

安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8
东方卫视,http://112.27.235.94:8000/hls/28/index.m3u8
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8
